Verb,proper_ink,name,tags,link,controller,action,description,parameters,domain,employee_id
GET,,home page,     ,,project,home,This page you can reach information about home page You can also complete the tasks of       ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,oldhelp,oldhelp,oldhelp     ,oldhelp,project,help,This page you can reach information about oldhelp You can also complete the tasks of oldhelp      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,log,log,log     ,log,project,help,This page you can reach information about log You can also complete the tasks of log      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,oldabout,oldabout,oldabout     ,oldabout,product,about,This page you can reach information about oldabout You can also complete the tasks of oldabout      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,oldcontact,oldcontact,oldcontact     ,oldcontact,product,contact,This page you can reach information about oldcontact You can also complete the tasks of oldcontact      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,project/longtable,project,project longtable    ,project/longtable,project,longtable,This page you can reach information about project You can also complete the tasks of project longtable     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,dealers,dealers,dealers     ,dealers,address_dealer,list,This page you can reach information about dealers You can also complete the tasks of dealers      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,about,about,about     ,about,project,about,This page you can reach information about about You can also complete the tasks of about      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,contact,contact,contact     ,contact,project,contact,This page you can reach information about contact You can also complete the tasks of contact      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,productdetails,productdetails,productdetails     ,productdetails,product_masters,details,This page you can reach information about productdetails You can also complete the tasks of productdetails      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,producttraining,producttraining,producttraining     ,producttraining,product_training_manuals,training,This page you can reach information about producttraining You can also complete the tasks of producttraining      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,producttraining_text,producttraining_text,producttraining text    ,producttraining_text,product_training_manuals,training_text,This page you can reach information about producttraining_text You can also complete the tasks of producttraining text     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,productvariantdetails,productvariantdetails,productvariantdetails     ,productvariantdetails,product_variants,details,This page you can reach information about productvariantdetails You can also complete the tasks of productvariantdetails      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,productvariantcombined,productvariantcombined,productvariantcombined     ,productvariantcombined,product_variants,combined,This page you can reach information about productvariantcombined You can also complete the tasks of productvariantcombined      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,updatevariantmaster,updatevariantmaster,updatevariantmaster     ,updatevariantmaster Method = POST,product_variants,update_variant_master_id,"This page you can reach information about updatevariantmaster You can also complete the tasks of updatevariantmaster      ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,mediatapesforproducts,mediatapesforproducts,mediatapesforproducts     ,mediatapesforproducts,media_tapes,productwise,This page you can reach information about mediatapesforproducts You can also complete the tasks of mediatapesforproducts      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,mediatapesdetails,mediatapesdetails,mediatapesdetails     ,mediatapesdetails,media_tapes,tape_details,This page you can reach information about mediatapesdetails You can also complete the tasks of mediatapesdetails      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,addonproductlist,addonproductlist,addonproductlist     ,addonproductlist,media_tapes,product_lists,This page you can reach information about addonproductlist You can also complete the tasks of addonproductlist      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,addonproductlist,addonproductlist,addonproductlist     ,addonproductlist,product_master_add_ons,product_lists,This page you can reach information about addonproductlist You can also complete the tasks of addonproductlist      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,signup,signup,signup     ,signup,users,new,This page you can reach information about signup You can also complete the tasks of signup      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,login,login,login     ,login,sessions,new,This page you can reach information about login You can also complete the tasks of login      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,login,login,login     ,login Method = POST,sessions,create,"This page you can reach information about login You can also complete the tasks of login      ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
DELETE,logout,logout,logout     ,logout Method = DELETE,sessions,destroy,"This page you can reach information about logout You can also complete the tasks of logout      ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,employee_incentives/index,employee_incentives,employee incentives index   ,employee_incentives/index,employee_incentives,index,This page you can reach information about employee_incentives You can also complete the tasks of employee incentives index    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,employee_incentives/search,employee_incentives,employee incentives search   ,employee_incentives/search,employee_incentives,search,This page you can reach information about employee_incentives You can also complete the tasks of employee incentives search    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,employee_incentives/details,employee_incentives,employee incentives details   ,employee_incentives/details,employee_incentives,details,This page you can reach information about employee_incentives You can also complete the tasks of employee incentives details    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,sales_reports_team,sales_reports_team,sales reports team   ,sales_reports_team,sales_report_team,index,This page you can reach information about sales_reports_team You can also complete the tasks of sales reports team    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,sales_report_team/show_wise,sales_report_team,sales report team show wise ,sales_report_team/show_wise,sales_report_team,show_wise,This page you can reach information about sales_report_team You can also complete the tasks of sales report team show wise  ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,sales_report_team_show_wise,sales_report_team_show_wise,sales report team show wise ,sales_report_team_show_wise,sales_report_team,show_wise,This page you can reach information about sales_report_team_show_wise You can also complete the tasks of sales report team show wise  ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,sales_report_team/agent_order,sales_report_team,sales report team agent order ,sales_report_team/agent_order,sales_report_team,agent_order,This page you can reach information about sales_report_team You can also complete the tasks of sales report team agent order  ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,sales_report_team_agent_order_list,sales_report_team_agent_order_list,sales report team agent order list,sales_report_team_agent_order_list,sales_report_team,agent_order_list,This page you can reach information about sales_report_team_agent_order_list You can also complete the tasks of sales report team agent order list ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,sales_report_team/agent_order_list,sales_report_team,sales report team agent order list,sales_report_team/agent_order_list,sales_report_team,agent_order_list,This page you can reach information about sales_report_team You can also complete the tasks of sales report team agent order list ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,pay_u_orders_sales_report_team,pay_u_orders_sales_report_team,pay u orders sales report team,pay_u_orders_sales_report_team,sales_report_team,pay_u_orders,This page you can reach information about pay_u_orders_sales_report_team You can also complete the tasks of pay u orders sales report team ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,sales_report_team/products_sold,sales_report_team,sales report team products sold ,sales_report_team/products_sold,sales_report_team,products_sold,This page you can reach information about sales_report_team You can also complete the tasks of sales report team products sold  ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,products_sold_sales_report_team,products_sold_sales_report_team,products sold sales report team ,products_sold_sales_report_team,sales_report_team,products_sold,This page you can reach information about products_sold_sales_report_team You can also complete the tasks of products sold sales report team  ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,sales_report_team/pay_u_orders,sales_report_team,sales report team pay u orders,sales_report_team/pay_u_orders,sales_report_team,pay_u_orders,This page you can reach information about sales_report_team You can also complete the tasks of sales report team pay u orders ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,agent_common_upsell_order_sales_report_team,agent_common_upsell_order_sales_report_team,agent common upsell order sales report,agent_common_upsell_order_sales_report_team,sales_report_team,agent_common_upsell_order,This page you can reach information about agent_common_upsell_order_sales_report_team You can also complete the tasks of agent common upsell order sales report ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,sales_report_team/agent_common_upsell_order,sales_report_team,sales report team agent common upsell,sales_report_team/agent_common_upsell_order,sales_report_team,agent_common_upsell_order,This page you can reach information about sales_report_team You can also complete the tasks of sales report team agent common upsell ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,agent_basic_upsell_order_sales_report_team,agent_basic_upsell_order_sales_report_team,agent basic upsell order sales report,agent_basic_upsell_order_sales_report_team,sales_report_team,agent_basic_upsell_order,This page you can reach information about agent_basic_upsell_order_sales_report_team You can also complete the tasks of agent basic upsell order sales report ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,sales_report_team/agent_basic_upsell_order,sales_report_team,sales report team agent basic upsell,sales_report_team/agent_basic_upsell_order,sales_report_team,agent_basic_upsell_order,This page you can reach information about sales_report_team You can also complete the tasks of sales report team agent basic upsell ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,disposition_report_sales_report_team,disposition_report_sales_report_team,disposition report sales report team ,disposition_report_sales_report_team,sales_report_team,disposition_report,This page you can reach information about disposition_report_sales_report_team You can also complete the tasks of disposition report sales report team  ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,sales_report_team/disposition_report,sales_report_team,sales report team disposition report ,sales_report_team/disposition_report,sales_report_team,disposition_report,This page you can reach information about sales_report_team You can also complete the tasks of sales report team disposition report  ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,showproducts_sales_report_team,showproducts_sales_report_team,showproducts sales report team  ,showproducts_sales_report_team,sales_report_team,showproducts,This page you can reach information about showproducts_sales_report_team You can also complete the tasks of showproducts sales report team   ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,sales_report_team/showproducts,sales_report_team,sales report team showproducts  ,sales_report_team/showproducts,sales_report_team,showproducts,This page you can reach information about sales_report_team You can also complete the tasks of sales report team showproducts   ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,select_two,select_two,select two    ,select_two,return_rates,demo,This page you can reach information about select_two You can also complete the tasks of select two     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,cashsale/index,cashsale,cashsale index    ,cashsale/index,cashsale,index,This page you can reach information about cashsale You can also complete the tasks of cashsale index     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,cashsale/search,cashsale,cashsale search    ,cashsale/search,cashsale,search,This page you can reach information about cashsale You can also complete the tasks of cashsale search     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,cashsale/details,cashsale,cashsale details    ,cashsale/details,cashsale,details,This page you can reach information about cashsale You can also complete the tasks of cashsale details     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,states/edit_all,states,states edit all   ,states/edit_all,states,edit_all,This page you can reach information about states You can also complete the tasks of states edit all    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,states_update_all,states_update_all,states update all   ,states_update_all Method = POST,states,update_all,"This page you can reach information about states_update_all You can also complete the tasks of states update all    ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,states/update_all,states,states update all   ,states/update_all Method = POST,states,update_all,"This page you can reach information about states You can also complete the tasks of states update all    ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,cinergy_xml,cinergy_xml,cinergy xml    ,cinergy_xml,campaign_playlists,cinergy_xml,This page you can reach information about cinergy_xml You can also complete the tasks of cinergy xml     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,recent_missed_orders,recent_missed_orders,recent missed orders   ,recent_missed_orders,distributor_missed_orders,recent,This page you can reach information about recent_missed_orders You can also complete the tasks of recent missed orders    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,media_switch_cdm,media_switch_cdm,media switch cdm   ,media_switch_cdm Method = POST,media,switch_cdm,"This page you can reach information about media_switch_cdm You can also complete the tasks of media switch cdm    ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,media/switch_cdm,media,media switch cdm   ,media/switch_cdm Method = POST,media,switch_cdm,"This page you can reach information about media You can also complete the tasks of media switch cdm    ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,hbn_channels,hbn_channels,hbn channels    ,hbn_channels,media,all_hbn,This page you can reach information about hbn_channels You can also complete the tasks of hbn channels     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,send_demo_message,send_demo_message,send demo message   ,send_demo_message Method = POST,message_on_orders,send_demo_message,"This page you can reach information about send_demo_message You can also complete the tasks of send demo message    ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,new_dept/list,new_dept,new dept list   ,new_dept/list,new_dept,list,This page you can reach information about new_dept You can also complete the tasks of new dept list    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,new_dept/search,new_dept,new dept search   ,new_dept/search,new_dept,search,This page you can reach information about new_dept You can also complete the tasks of new dept search    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,new_dept/details,new_dept,new dept details   ,new_dept/details,new_dept,details,This page you can reach information about new_dept You can also complete the tasks of new dept details    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,deal_tran/list,deal_tran,deal tran list   ,deal_tran/list,deal_tran,list,This page you can reach information about deal_tran You can also complete the tasks of deal tran list    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,deal_tran/search,deal_tran,deal tran search   ,deal_tran/search,deal_tran,search,This page you can reach information about deal_tran You can also complete the tasks of deal tran search    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,deal_tran/details,deal_tran,deal tran details   ,deal_tran/details,deal_tran,details,This page you can reach information about deal_tran You can also complete the tasks of deal tran details    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,transfer_order,transfer_order,transfer order    ,transfer_order,corporates,transfer_order,This page you can reach information about transfer_order You can also complete the tasks of transfer order     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,transfer_order_pricing,transfer_order_pricing,transfer order pricing   ,transfer_order_pricing,corporates,transfer_order_pricing,This page you can reach information about transfer_order_pricing You can also complete the tasks of transfer order pricing    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,distributor_upload_orders/switch_on,distributor_upload_orders,distributor upload orders switch on ,distributor_upload_orders/switch_on Method = POST,distributor_upload_orders,switch_on,"This page you can reach information about distributor_upload_orders You can also complete the tasks of distributor upload orders switch on  ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,distributor_upload_orders/switch_off,distributor_upload_orders,distributor upload orders switch off ,distributor_upload_orders/switch_off Method = POST,distributor_upload_orders,switch_off,"This page you can reach information about distributor_upload_orders You can also complete the tasks of distributor upload orders switch off  ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,distributor_quick_add_pincode,distributor_quick_add_pincode,distributor quick add pincode  ,distributor_quick_add_pincode Method = POST,distributor_pincode_lists,quick_add_pincode,"This page you can reach information about distributor_quick_add_pincode You can also complete the tasks of distributor quick add pincode   ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,distributor_quick_add_state_pincode,distributor_quick_add_state_pincode,distributor quick add state pincode ,distributor_quick_add_state_pincode Method = POST,distributor_pincode_lists,quick_add_state_pincode,"This page you can reach information about distributor_quick_add_state_pincode You can also complete the tasks of distributor quick add state pincode  ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,help,help,help     ,help,help_files,index,This page you can reach information about help You can also complete the tasks of help      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,search,search,search     ,search,help_files,index,This page you can reach information about search You can also complete the tasks of search      ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,message_on_orders/payumoney,message_on_orders,message on orders payumoney  ,message_on_orders/payumoney,message_on_orders,payumoney,This page you can reach information about message_on_orders You can also complete the tasks of message on orders payumoney   ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,message_on_orders_payumoney,message_on_orders_payumoney,message on orders payumoney  ,message_on_orders_payumoney,message_on_orders,payumoney,This page you can reach information about message_on_orders_payumoney You can also complete the tasks of message on orders payumoney   ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,fedex_bill_download,fedex_bill_download,fedex bill download   ,fedex_bill_download,fedex_bill_checks,download,This page you can reach information about fedex_bill_download You can also complete the tasks of fedex bill download    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
DELETE,fedex_bill_delete,fedex_bill_delete,fedex bill delete   ,fedex_bill_delete Method = DELETE,fedex_bill_checks,delete,"This page you can reach information about fedex_bill_delete You can also complete the tasks of fedex bill delete    ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
DELETE,remove_all_missed_orders,remove_all_missed_orders,remove all missed orders  ,remove_all_missed_orders Method = DELETE,distributor_missed_orders,remove_missed,"This page you can reach information about remove_all_missed_orders You can also complete the tasks of remove all missed orders   ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
DELETE,remove_all_corporate_missed_orders,remove_all_corporate_missed_orders,remove all corporate missed orders ,remove_all_corporate_missed_orders Method = DELETE,distributor_missed_orders,remove_missed,"This page you can reach information about remove_all_corporate_missed_orders You can also complete the tasks of remove all corporate missed orders  ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
DELETE,remove_all_corporate_specific_missed_orders,remove_all_corporate_specific_missed_orders,remove all corporate specific missed orders,remove_all_corporate_specific_missed_orders Method = DELETE,distributor_missed_orders,remove_missed,"This page you can reach information about remove_all_corporate_specific_missed_orders You can also complete the tasks of remove all corporate specific missed orders ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
,bootsy,bootsy,bootsy     ,bootsy Method = ,Bootsy::Engine, ,"This page you can reach information about bootsy You can also complete the tasks of bootsy      ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,wholesale_distributors/list,wholesale_distributors,wholesale distributors list   ,wholesale_distributors/list,wholesale_distributors,list,This page you can reach information about wholesale_distributors You can also complete the tasks of wholesale distributors list    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,wholesale_distributors/search,wholesale_distributors,wholesale distributors search   ,wholesale_distributors/search,wholesale_distributors,search,This page you can reach information about wholesale_distributors You can also complete the tasks of wholesale distributors search    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,wholesale_distributors/details,wholesale_distributors,wholesale distributors details   ,wholesale_distributors/details,wholesale_distributors,details,This page you can reach information about wholesale_distributors You can also complete the tasks of wholesale distributors details    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,wholesale_returns/list,wholesale_returns,wholesale returns list   ,wholesale_returns/list,wholesale_returns,list,This page you can reach information about wholesale_returns You can also complete the tasks of wholesale returns list    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,wholesale_returns/search,wholesale_returns,wholesale returns search   ,wholesale_returns/search,wholesale_returns,search,This page you can reach information about wholesale_returns You can also complete the tasks of wholesale returns search    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,wholesale_returns/details,wholesale_returns,wholesale returns details   ,wholesale_returns/details,wholesale_returns,details,This page you can reach information about wholesale_returns You can also complete the tasks of wholesale returns details    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,wholesale_sales,wholesale_sales,wholesale sales    ,wholesale_sales,tempinv_newwlsdet/list,wholesale_sales,This page you can reach information about wholesale_sales You can also complete the tasks of wholesale sales     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,branch_sales,branch_sales,branch sales    ,branch_sales,newwlsdet/list,branch_sales,This page you can reach information about branch_sales You can also complete the tasks of branch sales     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,media_cost_masters/get_costs,media_cost_masters,media cost masters get costs ,media_cost_masters/get_costs,media_cost_masters,get_costs,This page you can reach information about media_cost_masters You can also complete the tasks of media cost masters get costs  ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,media_cost_masters_get_costs,media_cost_masters_get_costs,media cost masters get costs ,media_cost_masters_get_costs,media_cost_masters,get_costs,This page you can reach information about media_cost_masters_get_costs You can also complete the tasks of media cost masters get costs  ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,sales_ppos/re_create_ppo,sales_ppos,sales ppos re create ppo ,sales_ppos/re_create_ppo Method = POST,sales_ppos,re_create_ppo,"This page you can reach information about sales_ppos You can also complete the tasks of sales ppos re create ppo  ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,sales_ppos/recreate_ppo_for_order_id,sales_ppos,sales ppos recreate ppo for order,sales_ppos/recreate_ppo_for_order_id Method = POST,sales_ppos,recreate_ppo_for_order_id,"This page you can reach information about sales_ppos You can also complete the tasks of sales ppos recreate ppo for order ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,sales_ppos/recreate_ppo_between_days,sales_ppos,sales ppos recreate ppo between days,sales_ppos/recreate_ppo_between_days Method = POST,sales_ppos,recreate_ppo_between_days,"This page you can reach information about sales_ppos You can also complete the tasks of sales ppos recreate ppo between days ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,sales_ppos/index,sales_ppos,sales ppos index   ,sales_ppos/index,sales_ppos,index,This page you can reach information about sales_ppos You can also complete the tasks of sales ppos index    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,sales_ppos,sales_ppos,sales ppos    ,sales_ppos,sales_ppos,index,This page you can reach information about sales_ppos You can also complete the tasks of sales ppos     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
